INDICE DE USOS - AREA DE TRATAMIENTO NORMATIVO I
Zonas: RDM, RDA, VT, CV, CZ, CM, I-1, I-2, I-3, I-4
P=Permitido, H=Compatible/Habilitado

D 15 5 2 04 | PRODUCTORES DE OTRAS BEBIDAS ALCOHOLICAS | I-1=P I-2=P I-3=P I-4=P
D 15 5 3 01 | CERVECERIAS | I-1=H I-2=P I-3=P
D 15 5 3 02 | MALTERIAS | I-1=H I-2=P I-3=P
D 15 5 4 01 | FABRICA DE REFRESCOS DE FRUTAS | CM=P I-1=P I-2=P I-3=P
D 15 5 4 02 | EMBOTELLADORAS DE GASEOSAS | CM=P I-1=P I-2=P I-3=P
D 15 5 4 03 | EMBOTELLADORAS DE AGUAS MINERALES | CM=P I-1=P I-2=P I-3=P
D 16 0 0 01 | PRODUCTORES DE CIGARRILLOS | I-1=P I-2=P I-3=P
D 16 0 0 02 | PRODUCTORES DE TABACO HOMOGENEIZADO O RECONSTITUIDO | I-1=P I-2=P I-3=P
D 16 0 0 03 | PRODUCTORES DE TABACO PARA MASCAR O RAPE | I-1=P I-2=P I-3=P
D 17 1 1 01 | CORTADO, PEINADO Y LAVADO DE FIBRAS O YUTE | I-1=P I-2=P I-3=P
D 17 1 1 02 | DEVANADO Y LAVADO DE LA FIBRA | I-1=P I-2=P I-3=P
D 17 1 1 03 | SUB-PRODUCTOS Y DESPERDICIOS | I-1=P I-2=P I-3=P
D 17 1 1 04 | FABRICA DE FELPILLAS | I-1=P I-2=P I-3=P
D 17 1 1 05 | FABRICA DE HILADOS DE PAPEL | I-1=P I-2=P I-3=P
D 17 1 1 06 | FABRICA DE HILADOS O HILOS | I-1=P I-2=P I-3=P
D 17 1 1 07 | FABRICA DE TEJIDOS ARTIFICIALES | I-1=P I-2=P I-3=P
D 17 1 1 08 | FABRICA DE TEJIDOS DE RIZO PARA TOALLAS | I-1=P I-2=P I-3=P
D 17 1 1 09 | FABRICA DE TEJIDOS DE FIBRA DE VIDRIO | I-1=P I-2=P I-3=P
D 17 1 2 01 | BLANQUEO DE PRODUCTOS TEXTILES | I-1=P I-2=P I-3=P
D 17 1 2 02 | CALANDRO DE PRODUCTOS TEXTILES | I-1=P I-2=P I-3=P
D 17 1 2 03 | ENCOGIMIENTO DE PRODUCTOS TEXTILES | I-1=P I-2=P I-3=P
D 17 1 2 04 | ESTAMPADOS PRODUCTOS TEXTILES | VT=H I-1=P I-2=P I-3=P
D 17 1 2 05 | PERCHADO DE PRODUCTOS TEXTILES | I-1=P I-2=P I-3=P
D 17 1 2 06 | TEÑIDO DE PRODUCTOS TEXTILES | VT=H I-1=P I-2=P I-3=P
D 17 1 2 07 | BORDADURIA | RDM=H RDA=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 01 | FABRICA DE ALMOHADAS | VT=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 02 | FABRICA DE ARTICULOS PARA ACAMPAR | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 17 2 1 03 | FABRICA DE BANDERAS, GALLARDETES Y ESTANDARTES | VT=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 04 | FABRICA DE BISILLOS | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 05 | FABRICA DE CENEFAS | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 06 | FABRICA DE COJINES | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 07 | FABRICA DE COLCHAS | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 08 | FABRICA DE CORTINAS | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 09 | FABRICA DE CHALECOS SALVAVIDAS | CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 10 | FABRICA DE EDREDONES | RDM=H VT=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 11 | FABRICA DE FRAZADAS | I-1=P I-2=P I-3=P
D 17 2 1 12 | FABRICA DE MANTAS DE VIAJE | I-1=P I-2=P I-3=P
D 17 2 1 13 | FABRICA DE MANTELES | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 14 | FABRICA DE PAÑOS DE COCINA | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 15 | FABRICA DE PAÑOS PARA DESEMPOLVAR | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 16 | FABRICA DE PUFES | VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 17 | FABRICA DE SABANAS | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 18 | FABRICA DE SACOS PARA DORMIR | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 19 | FABRICA DE SOBRECAMAS | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 20 | FAB.DE TAPICES TEJ.A MANO Y TEJ. PARA MANTOS ELECT. | RDM=H VT=H CV=H CZ=H CM=H I-1=P I-2=P I-3=P
D 17 2 1 21 | FABRICA DE TIENDAS DE CAMPAÑA | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 17 2 1 22 | FABRICA DE TOLDOS | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 17 2 1 23 | FABRICA DE VELOS | VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 17 2 2 01 | FABRICA DE ALFOMBRAS | RDM=H RDA=H VT=H CM=P I-1=P I-2=P I-3=P
D 17 2 2 02 | FABRICA DE ESTERAS TEJIDAS | VT=H CM=P I-1=P I-2=P I-3=P
D 17 2 2 03 | FABRICA DE HILADOS DE LANA, ALGODON Y FIBRAS ARTIF. | VT=H CM=P I-1=P I-2=P I-3=P
D 17 2 2 04 | FABRICA DE HILADOS DE YUTE, DE FIBRA DE COCO | VT=H CM=P I-1=P I-2=P I-3=P
D 17 2 2 05 | FABRICA DE TAPICES | RDM=H RDA=H VT=H CZ=H CM=P I-1=P I-2=P I-3=P
D 17 2 3 01 | FABRICA DE BRAMANTES | I-1=P I-2=P I-3=P
D 17 2 3 02 | FABRICA DE COJINES PARA DESCARGA | I-1=P I-2=P I-3=P
D 17 2 3 03 | FABRICA DE CORDELES | I-1=P I-2=P I-3=P
D 17 2 3 04 | FABRICA DE CUERDAS | I-1=P I-2=P I-3=P
D 17 2 3 05 | FABRICA DE CUERDAS CON ASAS METALICAS | I-1=P I-2=P I-3=P
D 17 2 3 06 | FABRICA DE ESLINGAS - MAROMAS | I-1=P I-2=P I-3=P
